age,gender,occupation,time_bp,time_dp,travel_time,easeof_online,home_env,prod_inc,sleep_bal,new_skill,fam_connect,relaxed,self_time,like_hw,dislike_hw,prefer,certaindays_hw
19-25,Male,Student in College,7,5,0.5,3,3,0.0,0.0,0.5,1.0,-0.5,-0.5,100,1,Physical,Yes
0-18,Male,Student in School,7,11,0.5,4,2,-0.5,0.5,-1.0,1.0,1.0,1.0,1111,1110,Physical,No
19-25,Male,Student in College,7,7,1.5,2,2,1.0,0.0,0.5,0.5,0.5,0.5,1100,111,Physical,Yes
19-25,Male,Student in College,7,7,1.5,3,1,0.0,1.0,0.5,0.0,-1.0,-0.5,100,1111,Physical,Yes
19-25,Female,Student in College,7,7,1.5,2,2,0.0,0.0,0.0,0.0,0.5,0.0,1010,1000,Physical,Yes
19-25,Male,Student in College,5,7,0.5,4,4,-1.0,-1.0,0.0,-0.5,0.0,0.0,110,1100,Physical,No
19-25,Male,Student in College,5,4,0.5,1,3,0.5,0.5,1.0,0.5,1.0,1.0,1100,1101,Remote,Yes
19-25,Male,Student in College,7,9,0.5,3,2,0.0,-0.5,-0.5,-1.0,-0.5,0.0,1000,1000,Physical,Yes
19-25,Male,Student in College,5,9,0.5,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1010,100,Remote,Yes
19-25,Male,Student in College,7,7,1.5,2,2,0.0,0.0,0.0,-1.0,0.0,0.0,1110,1111,Remote,Yes
19-25,Male,Student in College,7,4,0.5,2,1,0.0,-0.5,0.5,0.5,0.0,0.5,1100,1101,Physical,Maybe
19-25,Male,Student in College,5,9,0.5,3,3,0.0,0.0,0.0,0.0,0.0,0.0,1100,1011,Physical,No
19-25,Male,Student in College,7,11,0.5,5,4,0.0,-1.0,1.0,-0.5,-1.0,-1.0,110,1100,Physical,Yes
19-25,Female,Student in College,7,7,0.5,2,1,-0.5,0.0,0.5,1.0,0.5,1.0,1110,1100,Physical,Maybe
33-40,Male,Working Professional,9,11,0.5,2,3,0.0,0.5,0.5,0.0,0.5,0.0,1000,100,Physical,No
19-25,Male,Student in College,11,5,0.5,5,2,0.0,0.0,1.0,1.0,0.5,1.0,1110,1000,Remote,Yes
33-40,Male,Working Professional,7,5,0.5,2,3,0.0,-0.5,0.5,0.5,-0.5,0.5,110,1001,Physical,Maybe
19-25,Female,Student in College,7,9,0.5,5,3,-0.5,-0.5,-1.0,-1.0,-1.0,-0.5,10,1000,Physical,Maybe
19-25,Male,Student in College,5,4,1.5,2,4,0.0,-0.5,-1.0,0.0,-0.5,-0.5,100,100,Physical,Yes
19-25,Female,Student in College,11,9,0.5,2,3,-0.5,-0.5,-0.5,1.0,0.0,0.0,100,1111,Physical,Yes
19-25,Male,Student in College,7,9,1.5,4,5,0.5,-0.5,0.5,-0.5,-1.0,-0.5,10,1011,Physical,Maybe
19-25,Female,Student in College,7,5,0.5,3,4,0.5,0.5,0.5,1.0,0.5,0.0,1000,1110,Physical,Maybe
19-25,Male,Working Professional,7,9,1.5,1,2,0.0,-1.0,0.5,0.5,0.0,0.0,1000,1101,Physical,Yes
19-25,Female,Student in College,9,7,0.5,5,3,0.5,0.5,1.0,1.0,1.0,0.5,100,1,Remote,Yes
19-25,Male,Student in College,9,4,2.5,2,4,0.0,0.0,0.0,0.5,0.0,0.0,1000,1000,Physical,Maybe
19-25,Male,Student in College,7,9,0.5,4,4,-0.5,-0.5,0.5,0.5,0.0,-0.5,1001,1001,Physical,No
19-25,Male,Student in College,9,7,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1.0,1000,1101,Remote,Yes
19-25,Male,Student in College,7,5,0.5,3,4,0.5,-0.5,0.0,0.0,-0.5,0.0,1100,1111,Physical,Maybe
19-25,Male,Student in College,7,4,1.5,4,1,0.5,0.5,0.5,0.5,0.5,0.5,1111,1111,Physical,Maybe
19-25,Female,Student in College,7,4,1.5,4,3,0.0,-0.5,0.5,0.0,0.5,0.0,10,1111,Physical,Maybe
19-25,Male,Student in College,9,7,2.5,2,1,0.5,0.5,-0.5,0.5,0.5,1.0,1000,1101,Remote,Yes
19-25,Male,Student in College,11,4,0.5,5,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1000,1000,Physical,Maybe
19-25,Female,Student in College,7,7,0.5,3,3,-0.5,0.0,0.5,0.5,-0.5,0.5,1000,1101,Physical,Maybe
19-25,Female,Student in College,7,5,0.5,3,2,0.5,0.5,0.5,0.5,0.5,0.5,1000,1111,Remote,Yes
19-25,Male,Student in College,9,5,0.5,3,3,0.5,1.0,-1.0,1.0,0.0,0.0,1,1111,Physical,Maybe
19-25,Male,Student in College,9,7,2.5,3,3,0.0,-1.0,1.0,1.0,0.5,0.5,1100,1111,Physical,Maybe
19-25,Male,Student in College,7,11,0.5,4,5,0.0,1.0,0.5,-1.0,-1.0,-1.0,1011,1111,Physical,Maybe
19-25,Male,Student in College,9,11,1.5,2,1,0.5,1.0,0.5,0.5,0.5,0.5,1110,100,Remote,Yes
19-25,Male,Student in College,4,4,0.5,1,3,1.0,1.0,1.0,1.0,1.0,1.0,1000,100,Physical,No
19-25,Female,Student in College,5,4,0.5,4,4,-0.5,-1.0,-0.5,-0.5,-1.0,-1.0,10,1001,Physical,Yes
19-25,Male,Student in College,9,7,1.5,2,3,-0.5,-1.0,-1.0,0.5,0.0,0.5,1000,1100,Physical,No
19-25,Female,Student in College,5,5,0.5,5,4,-0.5,0.0,0.0,0.0,0.0,0.0,100,1011,Physical,Yes
19-25,Male,Student in College,4,5,0.5,4,4,0.5,0.5,1.0,0.0,-0.5,0.5,11,1011,Physical,Yes
19-25,Male,Student in College,5,7,0.5,3,5,0.5,-0.5,0.0,0.5,0.0,0.0,110,1111,Physical,Maybe
33-40,Male,Working Professional,9,11,0.5,4,3,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,1000,1010,Physical,No
60+,Prefer not to say,Entrepreneur,12,12,3.0,5,5,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,10,Physical,No
19-25,Female,Student in College,7,9,0.5,4,4,0.5,1.0,0.5,1.0,1.0,1.0,1100,1000,Remote,Maybe
19-25,Male,Student in College,7,5,0.5,5,4,-1.0,1.0,0.5,0.5,-0.5,0.0,1000,1111,Physical,Yes
19-25,Male,Student in College,7,4,0.5,4,3,-1.0,0.0,0.5,0.0,-0.5,0.0,1100,1101,Physical,Yes
19-25,Male,Student in College,12,7,0.5,3,4,-0.5,0.0,0.0,0.0,0.0,0.0,1111,1,Remote,Maybe
19-25,Male,Student in College,12,4,0.5,5,5,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,1000,1111,Physical,No
19-25,Male,Student in College,5,5,0.5,3,4,1.0,0.5,1.0,0.5,1.0,1.0,1010,1111,Remote,Maybe
19-25,Female,Student in College,7,7,0.5,2,2,0.0,0.5,0.5,0.0,0.0,-0.5,1,101,Remote,Yes
19-25,Male,Student in College,7,5,0.5,4,5,-0.5,-0.5,-1.0,-1.0,0.0,-1.0,10,1000,Physical,Yes
19-25,Male,Entrepreneur,12,12,1.5,2,2,0.5,-0.5,-0.5,0.5,-0.5,-0.5,1000,1,Remote,Yes
19-25,Female,Student in College,7,9,1.5,3,1,0.0,-0.5,0.0,0.0,0.0,-0.5,1000,1000,Remote,Yes
19-25,Male,Student in College,5,4,0.5,3,2,0.0,1.0,1.0,1.0,1.0,1.0,1100,111,Physical,Yes
19-25,Male,Student in College,5,5,0.5,1,2,-0.5,-1.0,0.5,0.5,0.5,1.0,10,100,Physical,No
19-25,Male,Student in College,5,5,0.5,1,2,-0.5,-1.0,0.5,0.5,0.5,1.0,10,100,Physical,No
19-25,Male,Student in College,9,9,0.5,2,3,0.5,0.0,0.5,0.5,0.5,0.5,1010,1000,Remote,Yes
19-25,Male,Student in College,5,5,0.5,3,3,-0.5,0.0,0.0,0.5,0.0,-0.5,1110,1111,Remote,Yes
19-25,Male,Working Professional,9,11,1.5,4,5,0.0,-0.5,-0.5,0.5,0.0,0.0,1100,1100,Physical,Yes
19-25,Male,Student in College,5,4,0.5,2,3,-1.0,-0.5,-1.0,-1.0,-0.5,-1.0,100,1000,Physical,Yes
19-25,Male,Student in College,7,9,0.5,4,4,-0.5,0.0,-0.5,0.5,-1.0,-0.5,1000,1101,Physical,Maybe
19-25,Male,Student in College,5,4,0.5,4,4,-0.5,-0.5,0.0,0.5,0.0,0.0,1000,1000,Physical,Maybe
